               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.031379,            0.066328,           0.0062715,             0.50273,              0.5754,              0.4373,             0.29787,            0.034329,            0.084158,             0.02565,            0.005248,            0.005248,            0.005248
                  50,            0.031002,            0.064169,           0.0061432,             0.48285,             0.58019,             0.42849,             0.29793,            0.034131,            0.086095,            0.027047,            0.005149,            0.005149,            0.005149
                  51,            0.031025,            0.065579,           0.0062016,             0.49503,             0.58816,             0.43532,             0.29973,            0.033711,            0.083495,            0.025536,             0.00505,             0.00505,             0.00505
                  52,            0.030952,            0.066343,           0.0059803,             0.51291,             0.58818,              0.4387,             0.30002,             0.03496,            0.088121,            0.026676,            0.004951,            0.004951,            0.004951
                  53,            0.030639,            0.064904,           0.0059884,             0.50173,              0.5912,             0.42307,             0.28994,            0.034155,             0.09201,            0.028663,            0.004852,            0.004852,            0.004852
                  54,            0.030482,            0.064195,           0.0058677,             0.50777,             0.56827,             0.43104,             0.29984,            0.034001,            0.087937,            0.028049,            0.004753,            0.004753,            0.004753
                  55,            0.030783,             0.06521,             0.00584,             0.47379,             0.58726,             0.42888,             0.29806,            0.033925,            0.086607,            0.027432,            0.004654,            0.004654,            0.004654
                  56,            0.030628,            0.065958,           0.0056551,             0.48607,             0.60171,             0.44316,             0.31028,            0.034083,            0.090369,            0.026577,            0.004555,            0.004555,            0.004555
                  57,            0.030584,            0.065301,           0.0055132,             0.49697,             0.58108,             0.42625,             0.29859,            0.033647,            0.088783,            0.029013,            0.004456,            0.004456,            0.004456
                  58,            0.029969,            0.062915,           0.0054229,             0.51657,             0.58414,             0.44092,             0.30673,            0.033821,            0.088294,            0.027003,            0.004357,            0.004357,            0.004357
                  59,            0.030327,            0.063485,           0.0055634,             0.52304,             0.54228,             0.42543,             0.29782,             0.03397,            0.091486,            0.028336,            0.004258,            0.004258,            0.004258
                  60,            0.029973,            0.062064,           0.0054855,             0.48349,             0.62125,             0.43685,             0.30393,            0.033856,            0.088481,            0.027556,            0.004159,            0.004159,            0.004159
                  61,            0.029994,            0.063792,           0.0053028,             0.48221,             0.59353,             0.41674,             0.29095,             0.03395,            0.089107,            0.029657,             0.00406,             0.00406,             0.00406
                  62,            0.029901,            0.063628,           0.0054575,             0.50035,             0.58391,             0.41812,              0.2949,            0.033829,            0.091709,            0.028832,            0.003961,            0.003961,            0.003961
                  63,            0.029616,            0.064528,           0.0052059,             0.51739,              0.5966,             0.44632,             0.31153,            0.033554,            0.083804,            0.026519,            0.003862,            0.003862,            0.003862
                  64,            0.029716,            0.062766,           0.0051101,              0.4959,             0.59133,             0.42549,             0.29658,            0.034022,            0.092661,            0.029135,            0.003763,            0.003763,            0.003763
                  65,            0.029576,            0.062635,           0.0052005,             0.49534,             0.59356,             0.43397,             0.30375,            0.033826,            0.090283,            0.029184,            0.003664,            0.003664,            0.003664
                  66,            0.029614,            0.062967,           0.0050476,             0.49371,             0.59182,             0.43062,             0.30404,            0.034096,            0.093506,            0.029094,            0.003565,            0.003565,            0.003565
                  67,            0.029174,            0.061855,           0.0051801,             0.50819,             0.58048,             0.43171,             0.30224,            0.033647,            0.088564,            0.028938,            0.003466,            0.003466,            0.003466
                  68,            0.029224,            0.062785,           0.0049504,             0.52036,             0.56971,             0.43873,             0.31135,             0.03381,            0.092781,            0.028592,            0.003367,            0.003367,            0.003367
                  69,            0.029168,            0.062299,           0.0051566,             0.52462,             0.59787,             0.43994,             0.31107,            0.033847,            0.090409,            0.029025,            0.003268,            0.003268,            0.003268
                  70,            0.028998,            0.061735,           0.0049504,             0.51301,             0.57263,             0.44137,             0.31056,            0.033658,             0.08833,            0.029296,            0.003169,            0.003169,            0.003169
                  71,            0.028752,            0.062344,           0.0048677,             0.50726,             0.59309,              0.4399,             0.31081,            0.033935,            0.092393,            0.029312,             0.00307,             0.00307,             0.00307
                  72,            0.029148,            0.062549,           0.0047767,             0.51565,             0.55532,             0.43049,             0.30436,            0.033654,            0.092921,            0.030409,            0.002971,            0.002971,            0.002971
                  73,             0.02864,            0.061339,           0.0045479,             0.52206,             0.59013,             0.43503,             0.30764,            0.034107,            0.092052,            0.030509,            0.002872,            0.002872,            0.002872
                  74,            0.028399,            0.061515,            0.004595,             0.50792,             0.59722,             0.43246,             0.30691,            0.033337,             0.08783,             0.03021,            0.002773,            0.002773,            0.002773
                  75,            0.028605,            0.061638,           0.0045684,             0.50598,             0.60165,             0.44166,             0.31491,            0.034095,            0.094934,            0.030961,            0.002674,            0.002674,            0.002674
                  76,            0.028485,              0.0611,           0.0046434,             0.51162,             0.60435,             0.43524,             0.30777,            0.033868,            0.089926,            0.029665,            0.002575,            0.002575,            0.002575
                  77,            0.028133,            0.059769,           0.0045053,             0.50334,             0.59782,             0.43172,             0.30511,            0.033962,            0.091213,            0.030265,            0.002476,            0.002476,            0.002476
                  78,            0.028135,             0.06065,           0.0043937,             0.50794,             0.60426,             0.43659,             0.31024,            0.033816,            0.091316,            0.030854,            0.002377,            0.002377,            0.002377
                  79,            0.028229,            0.060675,           0.0044953,             0.51514,             0.60583,             0.43817,             0.31147,            0.033615,            0.091167,            0.029537,            0.002278,            0.002278,            0.002278
                  80,            0.028394,            0.061272,           0.0045361,             0.50483,             0.60074,             0.43162,             0.30754,            0.033753,            0.093163,            0.031285,            0.002179,            0.002179,            0.002179
                  81,            0.028267,            0.060336,           0.0043506,             0.51082,              0.5969,              0.4351,              0.3119,            0.033814,            0.092678,            0.031026,             0.00208,             0.00208,             0.00208
                  82,            0.028096,            0.060456,           0.0043117,             0.51554,             0.60763,             0.43981,             0.31418,            0.034027,            0.095463,            0.031763,            0.001981,            0.001981,            0.001981
